en_term	en_note	en_term	en_note	en_term	en_note	en_term	en_note	en_term	en_note	en_term	en_note	en_term	en_note	en_term	en_note	en_term	en_note	ru_term	ru_note	ru_term	ru_note	ru_term	ru_note	ru_term	ru_note	ru_term	ru_note	ru_term	ru_note	ru_term	ru_note	ru_term	ru_note	ru_term	ru_note	
accommodative monetary policy		accommodating policy		accommodating stance		accommodation		easy monetary policy		monetary accommodation		monetary policy accommodation						адаптивная денежно-кредитная политика																	
accountability	[GFSM]																	подотчетность		ответственность															
accounting concept																		концепция (бухгалтерского) учета																	
accounting conventions	[GDDS]																	правила учета																	
accounting date	[BPM5]																	учетная дата																	
accounting equation		balance sheet equation		accounting identity														учетное тождество		бухгалтерское тождество		балансовое уравнение													
accounting practices		accounting methods		accounting procedures														практика (бухгалтерского) учета		методы (бухгалтерского) учета		процедуры (бухгалтерского) учета		практика учета											
accounting rate		book rate																расчетный курс																	
accounting system																		система (бухгалтерского) учета																	
accounting unit		accounting entity																учетная единица		учетное подразделение															
accounts and departments	[IMF]																	счета и департаменты																	
accounts of the IMF in member countries		IMF accounts in member countries																счета МВФ в государствах-членах																	
Accounts Payable Unit	[FIN/AX/AP]																	Служба по вопросам кредиторской задолженности																	
accounts payable		payables																кредиторская задолженность																	
accounts receivable																		дебиторская задолженность																	
Accra Agenda for Action		AAA		Triple A														Аккрская программа действий		АПД															
accrual basis																		метод начисления																	
accrual basis accounting		accrual accounting																учет по методу начисления		учет на основе метода начисления															
accruals	[accounting]																	начисленные (но не выплаченные) средства																	
accrued charges	[IMF]																	начисленные сборы																	
accrued income		accrued revenue		accrued asset														начисленный доход																	
accrued interest																		начисленные проценты																	
accrued to the date of liquidation	[AA]																	начисленные к дате ликвидации																	
accumulated depreciation		accrued depreciation																накопленные амортизационные отчисления		амортизационные отчисления		амортизационный резерв													
accumulation account																		счет накопления																	
acid-test ratio	[USA]	quick asset ratio		quick ratio		cash ratio	[corporations]	absolute liquid ratio										отношение текущих активов к текущим обязательствам		отношение оборотных средств к краткосрочным обязательствам		кассовый коэффициент		показатель текущей ликвидности		коэффициент ликвидности									
ACP-EEC Convention (between the African, Caribbean, and Pacific States and the European Economic Community)		Lomé Convention																Конвенция АКТ-ЕЭС (между государствами Африки, Карибского бассейна и Тихоокеанского региона и Европейским экономическим сообществом)		Ломейская конвенция		Конвенция Ломе													
acquaintance mission	[IMF]	exploratory mission																ознакомительная миссия																	
acquired rights clause		grandfather clause																оговорка о приобретенных правах																	
acquisition approach	[CPI; GFSM 2001; MFSM 2000]	acquisition approach to interest expense																подход с позиций приобретения		подход к расходам на уплату процентов с позиций		приобретения													
acquisition less disposal of assets	[GFSM 2001]																	приобретение минус выбытие активов																	
acquisition of non-produced, nonfinancial assets	[BPM5, SNA]																	приобретение непроизведенных нефинансовых активов																	
acquisition of SDRs	[IMF]																	приобретение СДР																	
acquisitions less disposals	[SNA 1993]																	приобретение минус выбытие																	
act of consent	[IMF quotas]																	уведомление о согласии																	
act of God		natural disaster																стихийное бедствие		случай стихийных бедствий															
Acting	[IMF]																	исполняющий обязанности																	
activate																		привести в действие																	
activation period																		период введения в действие																	
activation review	[CCL]																	"активизационный" обзор																	
active claim																		действующее требование																	
active management																		активное управление																	
active portfolio rebalancing																		активное перебалансирование портфеля																	
activist policy		discretionary policy		active policy														дискреционная мера политики																	
activity report	[IMF]																	доклад о текущей работе																	
actual final consumption																		фактическое конечное потребление																	
actual income																		фактический доход																	
actual interest yield		effective yield																фактический процентный доход		фактическая доходность															
actual rate of return																		фактическая норма прибыли																	
actuals																		фактические показатели																	
actuarial reserve	[insurance]																	актуарные резервы																	
actuarial valuation		actuary's valuation																актуарная оценка																	
ad hoc quota boosters																		единовременные добавочные коэффициенты для расчета квот																	
ad hoc quota increase																		специальное увеличение квот																	
ad hoc request	[IMF quotas]																	специальный запрос																	
ad hoc	[committee]																	специальный																	
ad valorem tariff																		адвалорный тариф																	
ad valorem	[taxation]																	адвалорный		на стоимостной основе															
Adaptation Fund																		Адаптационный фонд																	
adaptive expectations																		адаптивные ожидания																	
additionality																		объем дополнительных ресурсов																	
adequacy of financing																		достаточность финансирования																	
adequacy of reserves		reserves adequacy																достаточность резервов																	
adequate safeguards	[IMF]																	адекватные гарантии																	
adjustable rate		floating interest rate		floating rate		variable rate		variable-rate interest										переменная процентная ставка		переменная ставка		корректируемая ставка													
adjusted overall fiscal balance	[GFSM 2001]																	скорректированное общее сальдо бюджета																	
adjustment equation																		корректировочное уравнение																	
adjustment fatigue																		замедление корректировки																	
adjustment of charges	[IMF]																	изменение, пересмотр (размера) сборов																	
adjustment of quotas	[IMF]																	изменение квот																	
adjustment of the peg																		корректировка (курсовой) привязки																	
adjustment path																		траектория стабилизации		траектория корректировки															
adjustment process																		процесс стабилизации		процесс корректировки															
adjustment program	[IMF]																	программа стабилизации		программа корректировки															
adjustment to cash basis	[IFS]	adjustment to cash																перевод на кассовую основу																	
adjustment transaction	[GFS 1986]																	корректировочная операция																	
adjustment with growth																		корректировка в условиях роста		стабилизация в условиях роста															
Administered Account - country	[IMF - contribution from a country]																	счет страны, управляемый МВФ (от имени...)																	
Administered Account	[IMF]																	счет, управляемый МВФ																	
administered price		controlled price		administrative price														регулируемая цена		директивная цена															
administration of control	[AREAER]																	осуществление контроля																	
administration of restrictions	[IMF]																	применение ограничений																	
administrative action																		административные меры																	
administrative budget	[IMF]																	административный бюджет																	
Administrative Division	[ICD/AV]																	Административный отдел																	
Administrative Expenditures and Control Division	[FIN/AX]	AECD																Отдел административных расходов и контроля																	
administrative fees and charges	[GFS 1986]																	административные сборы																	
Administrative Law Unit	[IMF-LEG]																	Служба по вопросам административного законодательства																	
Administrative Payments Section	[FIN/AX/AP]																	Секция административных расчетов																	
Administrative Services Division	[SEC/ASD]																	Отдел административного обслуживания																	
Administrative Services	[CSF/D]																	Административно-хозяйственная служба																	
Administrative Tribunal	[IMF]																	Административный трибунал																	
advance																		аванс																	
advance deposit		import deposit																счет предоплаты		авансовый депозит															
advance mission	[IMF]																	подготовительная миссия																	
advance redemption		advance repayment																досрочное погашение		досрочная выплата															
adverse feedback loop		negative feedback loop																цикл негативной обратной связи																	
adverse option	[audit]	adverse opinion		adverse audit opinion														отрицательное заключение																	
adverse selection	[banking; insurance]																	негативный отбор		отбор заемщиков с высоким риском															
Advisor on Diversity, Senior	[IMF-HRD]																	старший советник по вопросам разнообразия																	
Advisor to the Executive Director	[IMF-OED]																	советник исполнительного директора																	
Advisor	[IMF]																	советник																	
Advisor, Senior	[IMF]																	старший советник																	
Advisory Committee on Risk Management		ACRM																Консультативный комитет по управлению рисками		ККУР															
Advisory Group on Sub-Saharan Africa		AGSA																Консультативная группа по странам Африки к югу от Сахары																	
advisory opinion																		совещательное мнение		консультативное (аудиторское) заключение	[аудит]														
advisory report	[IMF]																	консультативный доклад																	
affiliated enterprise		affiliate																филиал		предприятие-филиал															
affluence test		means test																проверка нуждаемости																	
affluent society																		общество изобилия																	
Africa Action Plan	[G-8]	G8 Africa Action Plan		Kananaskis Africa Action Plan														План действий Группы восьми для Африки		план действий для Африки, принятый в Кананаскисе															
Africa Capacity Building Initiative	[IMF]																	Инициатива в отношении развития потенциала в Африке																	
Africa Regional Division	[MCM/R1]																	Отдел региона Африки																	
Africa Training Institute		ATI																Институт подготовки кадров для стран Африки		ИПКА															
African Consultative Group		ACG																Африканская консультативная группа		АКГ															
African Department	[IMF]	AFR																Департамент стран Африки		АФР															
African Development Bank		AfDB		ADB														Африканский банк развития		АБР															
African Development Fund		AfDF		ADF														Африканский фонд развития		АФР															
African Division	[ICD/AC]																	Отдел стран Африки																	
African Financial Community	[BCEAO]	CFA																Африканское финансовое сообщество		КФА															
African Group I	[IMF-IBRD]	Africa Group I Constituency																Группа управляющих (МВФ и Всемирного банка) от стран Африки I																	
African Group II	[IMF-IBRD]	Africa Group II Constituency																Группа управляющих (МВФ и Всемирного банка) от стран Африки II																	
African Group	[IMF-IBRD]	Group of African Governors		African Caucus	[IMF]													Группа управляющих от стран Африки		Группа управляющих (МВФ) от стран Африки															
African Regional Technical Assistance Center		AFRITAC																Региональный центр по технической помощи в Африке		АФРИТАК															
African Union		AU																Африканский союз																	
African, Caribbean and Pacific Group of States		ACP Group		ACP States														государства Африки, Карибского бассейна и Тихоокеанского региона		государства АКТ															
after taxes																		после уплаты налогов		за вычетом налогов															
agency bank																		банк-агент																	
agency bond		agency debt																облигация федерального агентства																	
agency fee	[capital market]																	агентский сбор																	
Agency for International Development	[USA]	AID		USAID														Агентство по международному развитию		Агентство США по международному развитию		ЮСАИД													
agency transaction	[GFS 1986]																	агентская операция																	
Agenda and Procedures Committee	[IMF]	APC																Комитет по планированию повестки дня и процедурным		вопросам															
agent-based model		ABM																модель на основе агентов																	
agflation																		агфляция																	
agglomeration economies																		экономия, обусловленная агломерацией																	
aggregate calculated quota share																		совокупная расчетная доля квоты																	
aggregate real gross national product		aggregate real GNP																агрегированный реальный валовой национальный продукт		агрегированный реальный ВНП															
aggregation bias																		ошибка в результате агрегирования		смещение в результате агрегирования															
aggregation clause																		оговорка об объединении требований																	
aggregation, degree of																		степень агрегирования		уровень агрегирования															
aggregator bank		bad bank																банк проблемных активов																	
aging of the population		aging population																старение населения																	
agreed higher limit	[IMF, access policy]																	более высокий лимит, по которому была достигнута договоренность																	
agreed minute	[Paris Club]																	согласованный протокол																	
agreement in principle	[debt restructuring]																	принципиальная договоренность																	
agreement, use by	[SDR]																	использование (СДР) по соглашению																	
agricultural exporter																		страны-экспортеры сельскохозяйственной продукции																	
agricultural extension services		agricultural extension		extension services														образовательно-консультативные услуги в области сельского хозяйства		распространение сельскохозяйственных знаний															
agriculture, forestry, fishing, and hunting	[GFSM; GFSY]																	сельское и лесное хозяйство, рыболовство и охота																	
aid effectiveness																		эффективность помощи																	
aid flows																		потоки средств на цели помощи		потоки помощи															
aid fragmentation																		раздробленность помощи																	
aid-dependence syndrome																		синдром зависимости от помощи																	
aide-mémoire	[IMF]																	памятная записка																	
Alliance for Financial Inclusion		AFI																Альянс за расширение доступа к финансовым услугам																	
allocate																		распределять		выделять (в порядке распределения)		ассигновать													
allocation																		ассигнования																	
allocation mechanism																		механизм распределения																	
allocation of SDRs		SDR allocation																распределение СДР																	
allocations and allotments	[GFS 1986]																	ассигнование и распределение средств																	
allocative efficiency of resources		Pareto efficiency		Pareto optimal		Pareto optimality		Paretian optimality										эффективность распределения ресурсов		эффективность по Парето		оптимальный по Парето		оптимальность по Парето											
allotted number of votes	[IMF]																	количество выделенных голосов																	
alternative minimum tax	[USA]																	альтернативный минимальный налог		АМН															
Alternative-A Mortgage	[USA]	ALT-A Mortgage																ипотечный кредит категории "альтернативный А"																	
Amanah deposit	[Islamic banking]																	депозит "амана"																	
amended Articles of Agreement	[IMF]	Articles of Agreement as amended																Статьи соглашения с поправками																	
amendment (to the Articles of Agreement)	[IMF]																	поправка (к Статьям соглашения МВФ)		внесение поправок (в Статьи соглашения МВФ)															
amendment	[SNA93]																	поправка																	
American depositary receipt	[USA]	ADR		American depositary share		ADS												американская депозитарная расписка		АДР															
American Recovery and Reinvestment Act		Recovery Act																Закон о восстановлении экономики и реинвестициях																	
American-style option	[securities market]	American option																американский опцион																	
AML supervisory principles																		принципы надзора в целях борьбы с отмыванием денег																	
amortization																		амортизация																	
amortization profile																		структура амортизации																	
amount of access	[IMF]																	размер доступа (к ресурсам)																	
amount outstanding																		непогашенная сумма		сальдо		чистая позиция													
amount payable forthwith																		сумма к безотлагательной оплате																	
analytic framework		analytical framework																аналитическая основа																	
anchor currency																		валюта-якорь																	
anchor	[monetary policy]																	"якорь"		ориентир															
anchored inflation expectations																		фиксированные инфляционные ожидания																	
ancillary departmental enterprise																		вспомогательное ведомственное предприятие																	
ancillary meetings	[IMF-IBRD Annual Meetings]																	дополнительные совещания																	
ancillary services																		вспомогательные услуги		вспомогательные службы															
annual arrangement	[ESAF, PRGF]																	годовая договоренность		годовой механизм															
Annual Bank Conference on Development Economics	[World Bank]	ABCDE																Ежегодная конференция Всемирного банка по вопросам экономики развития																	
Annual Meetings (of the Boards of Governors) of the International		Monetary Fund and the World Bank	[IMF-World Bank]	Annual Meetings of the Board of Governors		Annual Meetings												Ежегодные совещания (советов управляющих)		Международного Валютного Фонда и Всемирного банка		Ежегодные совещания		Ежегодное совещание Совета управляющих											
Annual Report of the Executive Board	[IMF]	Annual Report																Годовой отчет Исполнительного совета		Годовой отчет															
Annual Report on Exchange Arrangements and Exchange		Restrictions	[IMF; publication not translated]	AREAER		ARER												Ежегодный доклад о валютных режимах и валютных ограничениях																	
Annual Report on Portfolio Performance	[IBRD]	ARPP																Годовой отчет о выполнении портфеля проектов																	
annual risk management report																		годовой отчет по управлению рисками																	
annuity																		аннуитет																	
anticipated growth rate																		прогнозируемые темпы роста																	
Anti-Counterfeiting Trade Agreement		ACTA																Торговое соглашение по борьбе с контрафакцией																	
anticyclical reserve fund																		антициклический резервный фонд																	
anticyclical tax																		антициклический налог																	
antidumping duty																		антидемпинговая пошлина																	
antidumping rules																		антидемпинговые правила																	
anti-money laundering		AML																борьба с отмыванием денег		БОД															
Anti-Money Laundering/Combating the Financing of Terrorism Topical Trust Fund																		Целевой трастовый фонд по борьбе с отмыванием денег и пресечению финансирования терроризма																	
anti-money laundering/combating the financing of terrorism		AML/CFT																борьба с отмыванием денег и пресечение финансирования терроризма		БОД/ПФТ															
apex institution																		головное учреждение																	
application for membership	[IMF]																	заявление о приеме в члены																	
appointed Executive Director	[IMF]																	назначенный исполнительный директор																	
apportionment of appropriations	[USA]																	распределение ассигнований																	
appreciate																		повышать(ся)																	
appropriation																		ассигнованные средства		выделенные средства		бюджетные ассигнования													
appropriation ceiling																		потолок ассигнований																	
appropriation-in-aid	[budget]																	поступления в счет уменьшения расходов		"вспомогательные ассигнования"															
Arab accounting dinar	[AMF]	AAD																арабский учетный динар																	
Arab Bank for Economic Development in Africa		ABEDA		BADEA														Арабский банк экономического развития в Африке		АБЭРА															
Arab countries in transition		ACT		ACTs														арабские страны на переходном этапе		АСП		арабские страны, переживающие переходный период													
Arab Fund for Economic and Social Development		AFESD																Арабский фонд экономического и социального развития		АФЭСР															
Arab Maghreb Union		AMU																Союз Арабского Магриба		САМ															
Arab Monetary Fund		AMF																Арабский валютный фонд		АВФ															
Arabic Section	[CSF]																	Секция арабского языка																	
arbitrage																		арбитраж																	
arbitrager		arbitrageur																арбитражист																	
arbitration clause																		оговорка об арбитраже																	
Archives and Records Management Section	[CSF/DI/AR]																	Секция по управлению архивами и учетной документацией																	
area department	[IMF]																	территориальный департамент																	
argument	[mathematics]																	аргумент функции																	
arithmetic mean		mean																среднее (значение)		среднее арифметическое (значение)															
arm's length pricing principle		arm's length price																принцип ценообразования на основе независимости сторон		приницип автономного ценообразования															
arm's length	[trade]																	между независимыми сторонами		на условиях равенства															
Arrangement Regarding International Trade in Textiles	[GATT]	Multifibre Arrangement																Международное соглашение по текстилю		Соглашение о международной торговле текстилем															
arrangement	[IMF]																	договоренность																	
arrangements																		механизм(ы)																	
array																		массив		множество															
arrears country	[IMF]	country with payment arrears																страна, имеющая просроченную задолженность																	
Arrow-Debreu model																		модель Эрроу-Дебре																	
Article IV																		Статья IV																	
Article IV consultation discussions	[IMF]	consultation discussions																обсуждения в рамках консультаций в соответствии со Статьей IV																	
Article IV consultations	[IMF]																	консультации в соответствии со Статьей IV																	
Article VIII country	[IMF]																	страна, принявшая условия по Статье VIII																	
Article VIII obligations	[IMF]																	обязательства по Статье VIII																	
Articles of Agreement of the International Monetary Fund	[IMF]	Articles of Agreement		Articles of the Fund		Fund Agreement												Статьи соглашения Международного Валютного Фонда		Статьи соглашения МВФ															
artificial person		legal entity		corporation		corporate body												юридическое лицо		корпорация															
artisanal industry		cottage industry																надомное производство		кустарный промысел															
ASEAN Regional Forum																		Региональный форум АСЕАН																	
ASEAN3																		АСЕАН3																	
Asia and Pacific Department	[IMF]	APD																Департамент стран Азиатско-Тихоокеанского региона		ДАТ															
Asia and Pacific Regional Division	[MCM/R2]																	Отдел Азии/Тихоокеанского региона																	
Asian Currency Unit		ACU																Азиатская валютная единица		АКЮ															
Asian Development Bank		AsDB		ADB														Азиатский банк развития		АзБР															
Asian Division	[ICD/AN]																	Отдел стран Азии																	
Asian noodle bowl																		"миска азиатской лапши"		"клубок" региональных торговых соглашений в Азии															
Asia-Pacific Economic Cooperation Forum		APEC		APEC Council		APEC Forum		Asia-Pacific Economic Cooperation		Asia-Pacific Economic Cooperation Council		Asia-Pacific Economic Forum						Организация азиатско-тихоокеанского экономического сотрудничества		Совет азиатско-тихоокеанского экономического сотрудничества		AТЭС		форум АТЭС											
assessment letter	[IMF]	comfort letter		assessment statement														письмо с изложением оценки		заявление с изложением оценки															
assessment mission	[IMF-IBRD]																	миссия по оценке																	
Assessment of Financial Sector Supervision and Regulation		AFSSR																Оценка надзора и регулирования в финансовом секторе																	
assessment roll	[taxation]	assessment list																налоговый реестр		налоговый список															
assessment	[SNA93]																	обязательные отчисления																	
assessor	[taxation]																	налоговый инспектор		оценщик															
asset																		актив		активы															
asset allocation		portfolio allocation																распределение активов		структура портфеля активов															
asset boundary																		граница категории активов																	
asset encumbrance																		обременение активов																	
asset operation																		активная операция		операция с активами															
asset preference																		предпочтения в отношении активов																	
asset price bubble		bubble		asset bubble														"вздутые" цены на активы																	
asset quality review		AQR																проверка качества активов																	
asset stripping																		расхищение активов																	
asset swap																		своп активов																	
asset-backed commercial paper		ABCP																коммерческие (ценные) бумаги, обеспеченные активами																	
asset-backed securities		ABS																ценные бумаги, обеспеченные активами		ЦБОА															
assignment																		назначение (персонала)																	
Assistant	[IMF]																	помощник		заместитель															
Assistant Director	[IMF]																	заместитель директора (департамента МВФ)																	
Assistant to the Director	[IMF]																	помощник директора (управления МВФ)																	
Assistant to the Secretary	[IMF-SEC]																	помощник секретаря																	
Associate	[IMF]																	помощник																	
associated borrowing arrangement	[IMF, GAB]	associated agreement																вспомогательное соглашение о займах																	
associated enterprise		associate		associated company														ассоциированное предприятие																	
Association for Financial Markets in Europe		AFME																Ассоциация европейских финансовых рынков		АЕФР															
Association of Southeast Asian Nations		ASEAN																Ассоциация стран Юго-Восточной Азии		АСЕАН															
assumption of debt		debt assumption																принятие долга		переуступка долга		передача долговых обязательств													
asymptote																		асимптота																	
asymptotically efficient estimate																		асимптотически эффективная оценка																	
Atlantic Division	[WHD/AT]																	Атлантический отдел																	
attendance list																		список участников																	
at-the-money option																		опцион "при деньгах"																	
attribution of production																		классификация производственной деятельности																	
attribution of taxes	[GFSM 2001]																	закрепление налогов																	
attrition rate		dropout rate		noncompletion rate														коэффициент отсева																	
auction rate	[exchange rates]																	аукционный курс																	
auction sale		auction																аукцион		аукционная продажа															
audit																		проводить аудиторскую проверку		проводить ревизию		проводить аудит													
audit committee																		аудиторская комиссия		ревизионная комиссия		комитет по аудиту													
audit office		auditing department																контрольно-ревизионное управление		управление аудита															
audit opinion																		аудиторское заключение		заключение аудитора															
audit trail																		аудиторский след		система сквозной регистрации операций															
audited financial statements																		финансовые отчеты, проверенные аудиторами																	
auditing standard		audit standard																стандарт аудита																	
Auditor	[IMF-OIA]																	аудитор																	
Auditor, Senior	[IMF-OIA]																	старший аудитор																	
augmentation of resources	[IMF]																	увеличение объема ресурсов																	
augmented resources	[IMF]	augmented Fund resources																увеличенный объем ресурсов		увеличенный объем ресурсов МВФ															
austerity policies																		политика жесткой экономии																	
austerity program																		программа мер жесткой экономии																	
autarkic policies																		автаркическая политика		политика самодостаточности															
authorized bank	[exchange market]																	уполномоченный банк																	
